window_id,video_id,film_flag,clap_sing,singing_prob,var_db,stratum,human_label,annotator_note,forced_flag_sing
eC7uNp3FMvA_003,eC7uNp3FMvA,1,-2.6798639,0.0083808293566107,4.5581,mid,unset,,0
eC7uNp3FMvA_004,eC7uNp3FMvA,1,-4.3935866,0.0008755685994401,6.3675,both_low,unset,,0
eXXV3LUohig_005,eXXV3LUohig,1,0.80811244,0.0007142386166378,28.5558,clap_high_only,unset,,0
fLFCU4gQJm0_000,fLFCU4gQJm0,1,-0.11848089,0.009067865088582,13.7201,both_high,unset,,0
fLFCU4gQJm0_007,fLFCU4gQJm0,1,-2.4095664,0.0088940281420946,13.8489,panns_high_only,unset,,0
fXwE9_IWH-c_006,fXwE9_IWH-c,0,-3.4610937,0.0007186715956777,42.094,both_low,unset,,0
fuf6qp-uaHA_002,fuf6qp-uaHA,1,2.2118964,0.0041696918196976,31.8968,clap_high_only,unset,,0
fuf6qp-uaHA_003,fuf6qp-uaHA,1,0.0039930176,0.0013452747371047,20.8074,clap_high_only,unset,,0
fuf6qp-uaHA_009,fuf6qp-uaHA,1,-3.0336266,0.038202129304409,9.8949,panns_high_only,unset,,0
fuf6qp-uaHA_011,fuf6qp-uaHA,1,-4.1815147,0.0010989644797518,6.3392,both_low,unset,,0
g3qdsdztDqQ_000,g3qdsdztDqQ,1,0.52114403,0.0026359376497566,11.3587,clap_high_only,unset,,0
g4tMvJTPtnc_004,g4tMvJTPtnc,1,-0.69854993,0.0764889866113662,12.0987,panns_high_only,unset,,0
hYXJOBBpFHg_000,hYXJOBBpFHg,1,0.093879208,0.002281955210492,22.9091,clap_high_only,unset,,0
iFub1JSiYC4_002,iFub1JSiYC4,1,-2.754622,0.0077915946021676,3.7317,mid,unset,,0
iFub1JSiYC4_003,iFub1JSiYC4,1,-4.3242569,0.0009931792737916,6.3064,both_low,unset,,0
iG1olu8M82U_002,iG1olu8M82U,0,1.1008897,0.2647919058799743,50.1056,both_high,unset,,1
iIA9xASDxSE_003,iIA9xASDxSE,1,-3.4251745,0.0115714604035019,4.9192,panns_high_only,unset,,0
iNmjK7_7Dto_003,iNmjK7_7Dto,1,3.56902,0.0123786181211471,10.2944,both_high,unset,,0
iNmjK7_7Dto_004,iNmjK7_7Dto,1,-1.3447516,0.001370737911202,22.5757,mid,unset,,0
jSQXgyb1vKY_004,jSQXgyb1vKY,1,-3.719075,0.0008072320488281,27.2649,both_low,unset,,0
jvknMvR2iVs_002,jvknMvR2iVs,1,-0.059403498,0.0043801548890769,11.6906,clap_high_only,unset,,0
jvknMvR2iVs_003,jvknMvR2iVs,1,-2.8089509,0.0010168246226385,36.7423,both_low,unset,,0
jvknMvR2iVs_004,jvknMvR2iVs,1,0.21446539,0.0050993901677429,28.6943,clap_high_only,unset,,0
jvknMvR2iVs_005,jvknMvR2iVs,1,2.4860806,0.0306829344481229,16.3676,both_high,unset,,0
